,index,word,count
119,164,give,37080
120,190,through,35606
121,63,whether,34602
122,7,again,33680
123,150,after,32792
124,197,further,32378
125,61,done,30754
126,20,next,30202
127,56,something,27698
128,80,whole,27484
129,172,three,27388
130,86,quite,27292
131,21,few,26982
132,122,another,26488
133,179,towards,25318
134,93,go,25268
135,194,rather,25110
136,200,A,24914
137,22,during,24910
138,129,did,24866
139,107,every,24636
140,6,once,24404
141,141,really,24230
142,181,yet,24128
143,191,down,24076
144,149,itself,24000
145,157,together,23390
146,133,used,23268
147,176,least,23134
148,195,third,22966
149,85,indeed,22712
150,131,become,22438
151,210,serious,22072
152,13,although,21760
153,83,always,21526
154,218,while,21486
155,145,each,21236
156,27,various,20710
157,72,call,20380
158,109,get,20012
159,161,back,19672
160,198,less,19512
161,166,might,18408
162,199,full,18372
163,45,her,18360
164,213,perhaps,18164
165,148,others,17602
166,177,often,17450
167,165,themselves,15762
168,193,though,15390
169,162,doing,15330
170,214,nothing,15270
171,130,enough,14776
172,216,upon,14536
173,215,above,14434
174,158,regarding,13512
175,73,him,13346
176,188,until,13148
177,235,due,13116
178,116,seems,12864
179,125,among,12636
180,257,nor,12540
181,48,she,12532
182,171,thus,12530
183,160,several,12492
184,151,everyone,12488
185,117,ourselves,12354
186,183,never,12122
187,114,either,11842
188,47,everything,11718
189,221,move,11604
190,127,five,11362
191,204,namely,11088
192,159,off,11084
193,237,throughout,10990
194,182,four,10806
195,225,nevertheless,10158
196,228,show,10154
197,227,whose,10086
198,196,keep,9974
199,203,around,9620
200,82,using,9354
201,236,moreover,9252
202,212,almost,9222
203,175,ever,9220
204,224,along,9214
205,220,behind,9160
206,154,amount,9156
207,248,across,9110
208,185,ten,8436
209,184,six,8400
210,254,side,8200
211,76,myself,8076
212,189,anything,7804
213,206,beyond,7404
214,209,sometimes,7388
215,217,US,7302
216,144,alone,7026
217,222,per,6992
218,249,former,6990
219,202,whom,6882
220,140,otherwise,6556
221,250,name,6522
222,240,else,6240
223,231,becoming,6076
224,232,neither,6048
225,192,seem,6008
226,244,anyone,5700
227,211,amongst,5364
228,138,re,5078
229,229,unless,5022
230,28,please,4990
231,233,whatever,4722
232,230,thereby,4382
233,68,i,4176
234,207,hence,3804
235,239,via,3742
236,245,top,3652
237,223,latter,3650
238,134,elsewhere,3236
239,279,himself,3178
240,238,whereas,3100
241,143,someone,3044
242,246,becomes,3042
243,247,front,3022
244,242,twenty,3020
245,281,nobody,2996
246,258,fifteen,2942
247,205,none,2894
248,270,whereby,2888
249,253,eight,2810
250,268,became,2078
251,201,below,2030
252,234,yourself,2014
253,262,except,1800
254,251,hundred,1702
255,256,nine,1694
256,265,wherever,1564
257,226,whenever,1556
258,255,everywhere,1512
259,275,mine,1402
260,291,twelve,1382
261,208,ours,1332
262,219,onto,1294
263,285,besides,1278
264,266,empty,1244
265,269,anywhere,1244
266,263,bottom,1244
267,260,seemed,1164
268,272,meanwhile,1144
269,241,anyway,1044
270,271,somewhere,926
271,286,eleven,914
272,180,afterwards,900
273,276,fifty,842
274,273,nowhere,796
275,295,herself,758
276,292,WHO,718
277,259,IT,702
278,297,mostly,656
279,280,somehow,636
280,277,beforehand,576
281,289,yourselves,574
282,252,forty,562
283,283,whoever,528
284,278,yours,478
285,296,formerly,394
286,299,sixty,356
287,264,therein,310
288,282,thereafter,284
289,301,TEN,264
290,325,ARE,230
291,294,toward,154
292,284,beside,152
293,243,hereby,128
294,261,OF,112
295,267,sometime,108
296,274,whereupon,92
297,309,ca,76
298,307,NO,42
299,302,hers,40
300,300,latterly,38
301,298,wherein,32
302,310,whence,28
303,303,anyhow,28
304,293,herein,26
305,290,seeming,22
306,288,NOW,22
307,304,thereupon,14
308,321,noone,12
309,319,hereafter,12
310,306,AND,10
311,305,thence,8
312,316,ON,8
313,287,NOT,8
314,326,FOR,8
315,318,AM,6
316,324,IN,6
317,312,WE,4
318,333,TWO,4
319,323,IS,4
320,308,ALL,4
321,332,VIA,2
322,331,TO,2
323,330,whither,2
324,327,FIRST,2
325,329,MORE,2
326,328,MOST,2
327,314,NEVER,2
328,322,ONCE,2
329,320,AGAINST,2
330,317,AN,2
331,315,AGAIN,2
332,313,SAY,2
333,311,GO,2
334,334,TOO,2
